name,owner,url,version,creation date,stars,watches,forks,contributors,languages,open issues,closed issues,last year commit #,description,Propagation Cost,Architecture Type,Core Size,Central Size,Lines of Code (LOC),Comment/Code Ratio,Classes,Files,Median LOC per File,Files > 200 LOC,Functions > 200 LOC,Median CBO,CBO > 8,Median WMC,WMC > 12,Median WMC-McCabe,WMC-McCabe > 100,Median RFC,RFC > 30
tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,2017-02-16T23:45:03Z,2015-11-07T01:19:20Z,46675,4296,21715,100,C++,772,6806,11240,Computation using data flow graphs for scalable machine learning,9.6,Core-Periphery,9.00%,51.30%,323467,32%,3164,2727,49,446,14,2,215,2,195,2,17,5,222
swift,apple,https://github.com/apple/swift,2017-02-16T23:53:51Z,2015-10-23T21:15:07Z,36754,2433,5409,100,C++,130,7400,10193,The Swift Programming Language,25.5,Core-Periphery,31.70%,40.60%,424719,27%,3896,1435,71,420,82,2,669,3,566,4,102,7,674
protobuf,google,https://github.com/google/protobuf,2017-02-16T23:55:11Z,2014-08-26T15:52:15Z,15048,1323,4550,100,C++,710,1995,0,Protocol Buffers - Google's data interchange format,18.7,Core-Periphery,13.90%,25.00%,215121,32%,1242,589,103,203,22,2,188,2,246,2,58,6,247
opencv,opencv,https://github.com/opencv/opencv,2017-02-16T15:02:50Z,2012-07-19T09:40:17Z,13631,1430,10781,100,C++,1077,7139,1147,Open Source Computer Vision Library,12.6,Core-Periphery,10.50%,23.30%,566197,32%,7001,2350,58,604,108,1,522,2,313,2,55,3,1485
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,2017-02-16T22:48:11Z,2010-12-19T15:16:43Z,11387,1327,7426,100,C++,617,9131,1702,Bitcoin Core integration/staging tree,40.2,Core-Periphery,36.40%,36.40%,105877,20%,1317,610,76,150,22,2,137,1,90,3,16,6,126
electron,electron,https://github.com/electron/electron,2017-02-16T20:17:36Z,2013-04-12T01:47:36Z,41781,2018,5013,100,C++,463,8199,0,"Build cross platform desktop apps with JavaScript, HTML, and CSS",8.9,Borderline Core-Periphery,5.90%,22.40%,39714,21%,387,509,40,46,0,4,65,5,84,5,7,6,43
CNTK,Microsoft,https://github.com/Microsoft/CNTK,2017-02-16T23:29:08Z,2015-11-26T09:52:06Z,9613,1026,2350,100,C++,600,874,6267,"Microsoft Cognitive Toolkit (CNTK), an open source deep-learning toolkit",35.2,Core-Periphery,37.60%,42.00%,133260,25%,1676,591,75,184,24,0,85,1,175,1,31,3,211
hhvm,facebook,https://github.com/facebook/hhvm,2017-02-16T21:45:45Z,2010-01-02T01:17:06Z,14282,1132,2613,100,C++,729,6921,0,A virtual machine designed for executing programs written in Hack and PHP. ,44.5,Core-Periphery,44.40%,44.60%,621607,23%,2918,2467,68,604,90,1,207,2,315,3,55,4,306
RxJava,ReactiveX,https://github.com/ReactiveX/RxJava,2017-02-16T22:31:04Z,2013-01-08T20:11:48Z,21426,1664,3772,100,Java,24,4456,453,RxJava 2013 Reactive Extensions for the JVM 2013 a library for composing asynchronous and event-based programs using observable sequences for the Java VM.,41.6,Core-Periphery,39.10%,42.60%,231258,26%,12205,1425,80,310,0,1,348,1,287,1,18,1,758
elasticsearch,elastic,https://github.com/elastic/elasticsearch,2017-02-17T00:34:11Z,2010-02-08T13:20:56Z,20868,1904,7210,100,Java,1262,21940,0,"Open Source, Distributed, RESTful Search Engine",46.8,Core-Periphery,45.00%,45.00%,628199,28%,10950,5107,64,842,17,3,2312,3,920,3,77,9,3098
